n,Runtime
332000,0.109166748
332500,0.110965896
333000,0.109158696
333500,0.105827036
334000,0.111166372
334500,0.113380492
335000,0.11158442
335500,0.107607832
336000,0.11089928
336500,0.11040024
337000,0.11173422
337500,0.111584392
338000,0.112991024
338500,0.108329988
339000,0.109371616
339500,0.110272568
340000,0.113941568
340500,0.108983856
341000,0.113403472
341500,0.111701684
342000,0.114066228
342500,0.112463856
343000,0.111028796
343500,0.113973512
344000,0.11256292
344500,0.111921936
345000,0.111805884
345500,0.113253308
346000,0.113712972
346500,0.114924392
347000,0.11539106
347500,0.11189368
348000,0.112589088
348500,0.116313704
349000,0.116745988
349500,0.114032884
350000,0.111705824
350500,0.1139591
351000,0.115803148
351500,0.116598168
352000,0.115529128
352500,0.11530622
353000,0.112830136
353500,0.117338656
354000,0.116261392
354500,0.118090576
355000,0.11443752
355500,0.117157
356000,0.117023652
356500,0.1183087
357000,0.11737038
357500,0.115513884
358000,0.118250412
358500,0.118749616
359000,0.11937092
359500,0.116612176
360000,0.120967188
360500,0.119397468
361000,0.116469772
361500,0.119397076
362000,0.119633364
362500,0.120327456
363000,0.1213414
363500,0.120965008
364000,0.117773212
364500,0.11921374
365000,0.122561708
365500,0.119278932
366000,0.120096448
366500,0.121242476
367000,0.117309464
367500,0.11822698
368000,0.120586136
368500,0.121736444
369000,0.122182048
369500,0.12384596
370000,0.122202656
370500,0.121469188
371000,0.12005764
371500,0.119554432
372000,0.12278684
372500,0.121219888
373000,0.123458592
373500,0.1232394
374000,0.121940428
374500,0.121879108
375000,0.122771124
375500,0.125540808
376000,0.12555904
376500,0.123854492
377000,0.125451252
377500,0.123903232
378000,0.125761708
378500,0.12601096
379000,0.1223122
379500,0.121629456
380000,0.12632684
380500,0.122588308
381000,0.124669156
381500,0.12259222
382000,0.126758588
382500,0.126204836
383000,0.124464084
383500,0.125827208
384000,0.125187144
384500,0.124647856
385000,0.125446752
385500,0.125056952
386000,0.125779472
386500,0.124594328
387000,0.128015816
387500,0.127498444
388000,0.127343452
388500,0.12944114
389000,0.124587072
389500,0.12705722
390000,0.125479668
390500,0.127600436
391000,0.12767094
391500,0.127252728
392000,0.129018812
392500,0.128280292
393000,0.12959944
393500,0.127492016
394000,0.129586788
394500,0.130547984
395000,0.13084962
395500,0.130831616
396000,0.129605556
396500,0.130872508
397000,0.131675712
397500,0.132269904
398000,0.130540396
398500,0.132677468
399000,0.131559208
399500,0.129603448
400000,0.130612388
400500,0.131377916
401000,0.134635968
401500,0.134030768
402000,0.132654252
402500,0.131348756
403000,0.133917748
403500,0.131626424
404000,0.129520524
404500,0.131797972
405000,0.131364132
405500,0.132249496
406000,0.132471424
406500,0.133674292
407000,0.132370856
407500,0.131594904
408000,0.13249174
408500,0.135764344
409000,0.13345342
409500,0.134865724
410000,0.134170812
410500,0.134816212
411000,0.1368222
411500,0.131057892
412000,0.136595
412500,0.135174204
413000,0.135610288
413500,0.133981108
414000,0.136694644
414500,0.135506608
415000,0.136354604
415500,0.136625444
416000,0.138880756
416500,0.137618792
417000,0.137598492
417500,0.133232868
418000,0.13827494
418500,0.137056476
419000,0.138057548
419500,0.134407192
420000,0.13728678
420500,0.135763468
421000,0.135270044
421500,0.137722964
422000,0.13945892
422500,0.135769316
423000,0.140036736
423500,0.136415804
424000,0.140199436
424500,0.139418356
425000,0.13412576
425500,0.138998768
426000,0.140051044
426500,0.135927476
427000,0.142097772
427500,0.142540152
428000,0.140621164
428500,0.14113528
429000,0.142635068
429500,0.141659004
430000,0.14311142
430500,0.141477376
431000,0.141696988
431500,0.139559152
432000,0.142275316
432500,0.143970332
433000,0.145107216
433500,0.142132116
434000,0.14509102
434500,0.144341388
435000,0.141747516
435500,0.141683856
436000,0.142072452
436500,0.142327616
437000,0.140217304
437500,0.14636916
438000,0.141870476
438500,0.141025784
439000,0.145025728
439500,0.142483052
440000,0.144531948
440500,0.144643208
441000,0.145284092
441500,0.144426416
442000,0.145603212
442500,0.14604778
443000,0.147914236
443500,0.145480896
444000,0.146178636
444500,0.143797484
445000,0.148201348
445500,0.144881228
446000,0.144113
446500,0.144370024
447000,0.14739284
447500,0.145609024
448000,0.146247964
448500,0.14881182
449000,0.14577488
449500,0.14739824
450000,0.1451337
450500,0.149724848
451000,0.147614524
451500,0.149070244
452000,0.150604632
452500,0.14957306
453000,0.149556996
453500,0.150981912
454000,0.147544296
454500,0.14910412
455000,0.151628836
455500,0.151465292
456000,0.15057172
456500,0.15195934
457000,0.150491612
457500,0.148124212
458000,0.15292844
458500,0.14905074
459000,0.150103372
459500,0.150225988
460000,0.151427996
460500,0.150823132
461000,0.150429648
461500,0.153008288
462000,0.1520988
462500,0.150949796
463000,0.151905428
463500,0.150169476
464000,0.150793464
464500,0.152056396
465000,0.15240146
465500,0.150398144
466000,0.150401356
466500,0.15110272
467000,0.149648192
467500,0.153455984
468000,0.153496624
468500,0.154461096
469000,0.154889652
469500,0.156938872
470000,0.151767508
470500,0.153353212
471000,0.151716836
471500,0.152248544
472000,0.154239184
472500,0.152729924
473000,0.157906544
473500,0.154249452
474000,0.1547569
474500,0.15258354
475000,0.153926408
475500,0.158093632
476000,0.160276412
476500,0.156728384
477000,0.156055052
477500,0.15905566
478000,0.155626584
478500,0.158045244
479000,0.157309524
479500,0.15566698
480000,0.158651344
480500,0.155956632
481000,0.161254952
481500,0.159399568
482000,0.16141322
482500,0.156717632
483000,0.158890704
483500,0.159584332
484000,0.158681132
484500,0.16007332
485000,0.1592238
485500,0.159252576
486000,0.159069936
486500,0.156961972
487000,0.161612748
487500,0.158461476
488000,0.162514824
488500,0.160720916
489000,0.158471868
489500,0.159606716
490000,0.164473764
490500,0.159484628
491000,0.16490434
491500,0.164798904
492000,0.163999296
492500,0.16273498
493000,0.162216816
493500,0.158335952
494000,0.163369792
494500,0.163378036
495000,0.161393184
495500,0.16310262
496000,0.162075816
496500,0.161701064
497000,0.165301244
497500,0.164391296
498000,0.16174148
498500,0.159596864
499000,0.161569088
499500,0.16354104
